name,row,col,img_src
LEFT,0,0,Graphics/Btn_LeftArrow.png
UP,0,1,Graphics/Btn_UpArrow.png
RIGHT,0,2,Graphics/Btn_RightArrow.png
TICK,1,0,Graphics/Btn_tick.png
DOWN,1,1,Graphics/Btn_DownArrow.png
X,1,2,Graphics/Btn_cross.png
1,2,0,Graphics/Btn_1.png
2,2,1,Graphics/Btn_2.png
3,2,2,Graphics/Btn_3.png
4,3,0,Graphics/Btn_4.png
5,3,1,Graphics/Btn_5.png
6,3,2,Graphics/Btn_6.png
7,4,0,Graphics/Btn_7.png
8,4,1,Graphics/Btn_8.png
9,4,2,Graphics/Btn_9.png
*,5,0,Graphics/Btn_asterisk.png
0,5,1,Graphics/Btn_0.png
#,5,2,Graphics/Btn_hash.png
